Distance_(inches),Gray_Value
0.0000000,31.750
0.0016667,32.500
0.0033333,34.250
0.0050000,35.250
0.0066667,36.500
0.0083333,40.000
0.0100000,43.000
0.0116667,48.250
0.0133333,58.000
0.0150000,74.000
0.0166667,105.750
0.0183333,165.000
0.0200000,227.000
0.0216667,253.250
0.0233333,255.000
0.0250000,255.000
0.0266667,255.000
0.0283333,255.000
0.0300000,255.000
0.0316667,255.000
0.0333333,255.000
0.0350000,255.000
0.0366667,255.000
0.0383333,248.000
0.0400000,221.000
0.0416667,175.000
0.0433333,133.000
0.0450000,104.750
0.0466667,84.250
0.0483333,69.000
0.0500000,56.000
0.0516667,45.000
0.0533333,36.750
0.0550000,31.000
0.0566667,26.750
