Distance_(inches),Gray_Value
0.0000000,0
0.0016667,0
0.0033333,0
0.0050000,0
0.0066667,0
0.0083333,0
0.0100000,0
0.0116667,0
0.0133333,0
0.0150000,0
0.0166667,0
0.0183333,0
0.0200000,0
0.0216667,1
0.0233333,2
0.0250000,4
0.0266667,3
0.0283333,3
0.0300000,3
0.0316667,3
0.0333333,3
0.0350000,3
0.0366667,3
0.0383333,2
0.0400000,2
0.0416667,3
0.0433333,6
0.0450000,7
0.0466667,8
0.0483333,9
0.0500000,8
0.0516667,10
0.0533333,12
0.0550000,11
0.0566667,11
