Distance_(inches),Gray_Value
0.0000000,20
0.0016667,23
0.0033333,23
0.0050000,26
0.0066667,24
0.0083333,29
0.0100000,33
0.0116667,40
0.0133333,51
0.0150000,66
0.0166667,90
0.0183333,135
0.0200000,207
0.0216667,250
0.0233333,255
0.0250000,255
0.0266667,255
0.0283333,255
0.0300000,255
0.0316667,255
0.0333333,255
0.0350000,215
0.0366667,154
0.0383333,98
0.0400000,72
0.0416667,56
0.0433333,47
0.0450000,37
0.0466667,33
0.0483333,31
0.0500000,30
0.0516667,27
0.0533333,29
0.0550000,29
0.0566667,28
