,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,trc
2011,4,6,7,56,7,5,35,2082,"[30,2077,40,2088]",-1446.0,-1762.79,0.0416338,23.9278,649,0.0818532,550.793,86,567.511,1.0127,31,39,1
1733,4,6,2,47,7,3,1056,1946,"[1053,1942,1060,1951]",-1295.04,-1742.7,0.0424622,12.2675,325,0.0803868,276.636,52,253.027,1.14179,41,55,1
1857,4,6,5,30,7,1,37,1616,"[33,1611,41,1619]",-1445.78,-1693.75,0.0425898,23.235,610,0.0774357,522.318,47,474.306,1.15021,3,4,1
1828,4,6,4,51,7,4,61,2095,"[57,2092,64,2101]",-1442.16,-1764.79,0.0410228,27.9933,763,0.0766258,654.391,52,573.483,1.18989,14,10,1
2295,4,6,7,61,8,5,1375,211,"[1372,207,1380,217]",-279.17,-1486.31,0.0461417,24.0794,577,0.0737103,497.778,63,485.709,1.07442,10,16,1
1137,4,6,5,36,2,1,1614,33,"[1611,30,1618,39]",-1212.54,-168.4,0.044898,30.5556,752,0.0727532,650.0,54,584.598,1.16414,2,3,1
1245,4,6,5,56,3,1,631,1648,"[627,1645,636,1654]",579.6,-407.16,0.0456196581197,32.8461538462,793,0.071510238021,687.153846154,66,617.064534493,1.16681474911,13,18,1
2227,4,6,5,42,8,4,502,30,"[498,26,509,35]",-408.02,-1459.51,0.0295144,32.4333,1228,0.0704013,1066.47,80,896.72,1.22547,1,5,1
1795,4,6,3,59,7,1,474,23,"[470,19,479,28]",-1381.02,-1458.42,0.0409544287993,27.676875,740,0.0661902429185,648.12,64,572.891415577,1.17962471879,1,2,1
1557,4,6,2,54,6,1,20,833,"[16,829,24,837]",-1448.2,-932.25,0.0412238,26.2564,691,0.0617157,610.667,52,498.636,1.27733,4,4,1
1283,4,6,2,38,4,1,30,949,"[27,945,34,954]",490.74,-949.4,0.0325014,26.4473,886,0.0589979,787.28,55,687.943,1.18284,4,6,1
