,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc
2150,4,6,5,0,8,1,1803,1700,"[1795,1695,1808,1705]",-539.19,231.26,0.0288062,31.2753,1249,0.0844654,1054.44,84,885.929,1.22551,3,89,1
2152,4,6,5,0,8,3,1865,1748,"[1861,1744,1870,1756]",-529.76,223.9,0.0446577,47.0444,1209,0.0914508,1006.4,72,885.929,1.18908,3,104,1
2161,4,6,7,34,8,1,496,705,"[488,699,503,714]",-732.02,378.06,0.128512919738,149.657467532,1525,0.200846498351,1014.875,154,818.56703658,1.42264764581,6,7,1
2169,4,6,5,50,3,1,151,509,"[145,503,156,516]",-460.2,730.07,0.0864479761998,59.1535714286,804,0.125172434475,625.114285714,112,553.473996969,1.23631437229,2,2,1
2176,4,6,7,62,4,1,992,417,"[988,406,997,422]",-12.91,744.05,0.0321473112758,32.4592592593,1134,0.0742479422352,977.244444444,108,829.693762042,1.21695949746,1,2,1
2192,4,6,5,62,4,1,919,343,"[915,340,925,348]",-23.47,754.48,0.0550942,43.4406,901,0.0947506,745.037,67,640.4,1.23123,1,1,1
2195,4,6,9,19,9,1,450,471,"[446,467,455,475]",-738.79,89.91,0.0284669287005,32.3330598852,1219,0.0497407192467,1103.47826087,53,838.731716133,1.3542009905,1,3,1
2211,4,6,8,26,9,1,552,559,"[545,555,557,567]",-723.92,76.56,0.0412339413923,40.4088285229,1114,0.0849342611646,939.580645161,95,857.848127472,1.1423810839,1,5,1
2223,4,6,4,62,7,1,540,496,"[536,492,545,501]",-402.5,408.99,0.0579841114584,36.8260606061,754,0.1151536664,598.28,66,452.368358563,1.40395774502,1,2,1
2224,4,6,8,46,1,1,1955,2046,"[1949,2040,1961,2054]",129.34,179.97,0.050745843319,36.6166870665,836,0.0993104080977,684.953488372,114,585.883499052,1.23159327171,2,6,1
2225,4,6,8,58,4,1,907,348,"[903,344,913,355]",-25.41,753.72,0.0481898,41.0302,979,0.0942215,810.4,86,717.054,1.1874,1,1,1
2229,4,6,9,46,2,1,668,1690,"[662,1684,673,1696]",-706.63,555.57,0.0415156707721,56.9886845827,1537,0.0775702338625,1315.71428571,101,1121.06839616,1.22445960925,4,6,1
2238,4,6,3,0,6,1,1177,2029,"[1172,2025,1182,2033]",337.42,182.65,0.0417634,38.2712,1052,0.0900927,878.111,68,764.004,1.19945,1,5,1
2254,4,6,7,59,4,1,909,353,"[905,348,913,357]",-25.18,753.1,0.0405969,32.5189,877,0.0659374,768.5,53,676.663,1.18378,1,1,1
2268,4,6,9,44,1,1,1957,2030,"[1953,2027,1963,2035]",129.73,182.42,0.0295398185769,25.5734265734,991,0.0823776517538,840.153846154,55,695.615046409,1.24454937712,2,4,1
2283,4,6,5,61,7,1,547,493,"[543,490,551,498]",-401.52,409.41,0.0416342,23.8936,657,0.0886495,550.0,47,440.068,1.3041,1,3,1
2284,4,6,5,61,7,2,543,499,"[539,494,548,504]",-402.17,408.73,0.0557723,32.9274,678,0.0975655,557.462,72,440.068,1.34159,1,4,1
2306,4,6,6,63,4,1,989,418,"[985,411,995,423]",-13.35,743.57,0.0577674736576,61.8386363636,1224,0.096461582312,1008.63636364,80,823.913719604,1.29925618973,1,1,1
2339,4,6,4,2,6,2,1435,279,"[1430,272,1440,285]",375.43,441.24,0.0356614,43.439,1323,0.0593932,1174.66,84,1031.69,1.18068,1,34,1
2346,4,6,7,63,7,1,535,494,"[531,490,540,501]",-403.15,409.19,0.0307906294359,23.9407407407,900,0.0885389835823,753.592592593,60,594.149437114,1.30864944871,1,2,1
2365,4,6,5,61,4,1,994,417,"[990,413,999,424]",-12.56,743.49,0.0375044347912,30.9093056212,920,0.0739876016424,793.24137931,73,694.021898688,1.18749953926,1,1,1
2389,4,6,6,41,1,1,1892,2010,"[1889,2007,1895,2014]",119.96,185.42,0.0254586928494,12.9646464646,544,0.0458744993324,496.277777778,33,411.95366327,1.23616433023,1,1,1
2408,4,6,3,3,6,1,1428,142,"[1424,138,1436,150]",374.76,461.09,0.0485608917184,48.3630319149,1129,0.0873739653875,947.5625,94,895.008380306,1.11275553819,1,4,1
2410,4,6,3,0,11,1,118,186,"[113,183,123,190]",-787.81,-191.02,0.0390416226715,34.4252873563,982,0.0736151603499,847.333333333,58,688.16304902,1.28132224179,1,17,1
2412,4,6,8,51,1,2,1968,2073,"[1965,2068,1971,2077]",131.31,176.12,0.0337369,24.9044,800,0.0572978,713.292,51,602.146,1.22594,1,9,1
2426,4,6,4,4,8,2,333,716,"[328,712,335,723]",-756.25,376.4,0.0377218,34.376,1014,0.0724905,876.926,53,725.787,1.25561,3,48,1
2460,4,6,6,0,5,2,773,590,"[768,586,778,595]",277.61,718.0,0.0433323,85.3929,2155,0.0667632,1885.26,69,1593.16,1.23695,1,8,1
2470,4,6,9,50,8,1,1569,577,"[1563,568,1576,588]",-573.39,396.94,0.0956571,91.5924,1337,0.213846,865.915,138,515.717,1.85665,2,3,1
2484,4,6,4,50,3,1,151,508,"[145,502,157,515]",-460.08,730.09,0.1004,59.2293,719,0.150671,530.706,108,472.872,1.24756,1,1,1
2486,4,6,5,64,4,1,997,426,"[993,420,1001,430]",-12.21,742.35,0.0497243368063,40.4842578711,936,0.0949355599927,773.689655172,69,662.575149825,1.22880236794,1,1,1
2491,4,6,4,0,8,2,1805,1721,"[1801,1718,1809,1728]",-538.62,227.85,0.0504028,41.9658,951,0.0920723,790.643,69,653.336,1.2744,3,128,1
2495,4,6,6,64,4,1,997,425,"[993,420,1002,431]",-12.21,742.4,0.0518202176103,48.7073552426,1096,0.103047246296,891.222222222,71,774.495863341,1.21360180468,1,1,1
2500,4,6,4,29,8,3,490,661,"[485,656,495,666]",-732.94,384.69,0.0452931,39.5862,974,0.0771871,834.414,76,697.577,1.25291,5,13,1
2510,4,6,2,2,6,1,1430,148,"[1425,142,1435,152]",374.71,460.61,0.0422594406035,25.1375,699,0.101915346418,569.7,80,557.453097002,1.06706286717,1,1,1
2517,4,6,4,64,4,2,996,425,"[993,420,1001,430]",-12.17,742.43,0.0485125,30.669,737,0.101217,601.519,64,543.578,1.16301,1,3,1
2524,4,6,6,1,5,1,702,649,"[698,645,709,656]",267.17,709.13,0.0384817,53.6439,1574,0.0801654,1340.37,81,1155.88,1.20602,2,81,1
2526,4,6,6,1,5,3,758,679,"[754,672,764,687]",275.5,704.82,0.0451181,66.7756,1621,0.0684707,1413.24,106,1155.88,1.28042,2,90,1
2529,4,6,7,64,7,1,533,493,"[525,486,541,499]",-403.51,409.56,0.0784137710652,69.6436490339,1045,0.121538139364,818.512195122,154,649.580532544,1.3672759568,1,2,1
2541,4,6,4,5,1,1,1891,2006,"[1885,2001,1896,2011]",119.82,186.0,0.0555908,34.0565,704,0.0977946,578.571,86,472.835,1.29565,2,3,1
2551,4,6,7,18,5,1,1111,128,"[1107,124,1116,134]",327.62,786.23,0.0484530441005,42.8436724566,1032,0.101747739991,841.387096774,78,839.683879941,1.05305197629,1,2,1
2552,4,6,8,43,1,1,1942,2041,"[1939,2036,1947,2046]",127.54,180.84,0.0339777387229,29.0,949,0.070200169157,824.5,62,702.175181552,1.21550864004,2,3,1
2559,4,6,8,8,5,1,781,603,"[776,599,786,609]",278.78,715.96,0.0322333112778,42.7743902439,1442,0.0578633654287,1284.25,82,1120.14767874,1.18468699747,1,7,1
2561,4,6,5,63,4,1,927,335,"[923,330,932,340]",-22.45,755.8,0.0528313,45.2418,991,0.0998259,811.103,84,732.675,1.16879,1,1,1
2562,4,6,5,63,4,2,988,417,"[983,412,995,423]",-13.32,743.63,0.0862022,83.9434,1150,0.127532,889.853,108,732.675,1.3291,1,3,1
2580,4,6,4,15,3,1,872,2063,"[869,2060,876,2068]",-353.48,500.41,0.0587222898635,55.9213732004,1128,0.114414753481,896.380952381,43,646.157325617,1.47379328196,4,2,1
2597,4,6,6,62,7,1,539,494,"[535,490,545,498]",-402.62,409.33,0.0298951,25.7727,978,0.0780819,836.333,66,642.462,1.34188,1,5,1
2606,4,6,6,2,9,4,1292,1195,"[1288,1190,1298,1200]",-614.23,-17.1,0.0422119,32.0909,839,0.0707384,728.143,77,622.985,1.22031,1,14,1
2676,4,6,8,1,5,2,773,625,"[767,618,780,633]",277.74,712.94,0.0467945,94.7304,2235,0.0733173,1929.66,144,1685.52,1.20105,2,52,1
2677,4,6,8,1,5,3,759,684,"[755,681,763,689]",275.61,704.11,0.0269577,57.3424,2302,0.0531173,2069.78,56,1685.52,1.262,2,62,1
2699,4,6,6,26,3,1,1767,2100,"[1763,2095,1773,2105]",-221.23,495.12,0.0344630465098,28.9255050505,929,0.0681881533101,810.393939394,72,708.806317044,1.18413087505,5,6,1
2703,4,6,7,61,7,1,548,496,"[544,491,552,503]",-401.39,408.93,0.0284991160324,22.5205882353,912,0.0859081978925,767.7,68,619.829062443,1.27490083334,1,4,1
2704,4,6,8,44,1,1,1956,2026,"[1952,2023,1959,2032]",129.38,182.92,0.0408574891122,31.3076292043,859,0.0778211178091,734.956521739,53,587.629825843,1.30399124967,2,3,1
2713,4,6,5,1,9,2,1314,1159,"[1311,1155,1319,1163]",-611.06,-11.85,0.0309455,26.8128,958,0.0658419,839.64,53,683.691,1.26732,1,11,1
2726,4,6,5,29,8,1,491,662,"[485,658,496,667]",-732.9,384.49,0.0368798339936,37.8387096774,1155,0.0778470152623,988.161290323,74,831.665278396,1.23366939399,5,5,1
2729,4,6,6,64,7,1,537,493,"[533,486,541,499]",-403.1,409.66,0.0643322266115,52.934303351,971,0.115519540466,769.892857143,81,576.922608748,1.42623490225,1,5,1
2746,4,6,6,62,4,1,921,344,"[915,338,925,350]",-23.49,754.49,0.0530139345546,48.3714285714,1036,0.0904935189919,864.057142857,91,758.027253542,1.20368834651,1,1,1
2752,4,6,7,0,5,1,772,591,"[768,586,777,596]",277.56,717.94,0.0428223,93.6981,2440,0.0762244,2094.37,73,1848.55,1.18367,1,5,1
2770,4,6,3,63,4,1,989,418,"[983,414,996,423]",-13.3,743.56,0.0632109326857,38.9241071429,700,0.0964421570821,576.857142857,96,492.444431405,1.25045834764,1,2,1
2802,4,6,8,63,7,1,535,500,"[528,494,540,505]",-403.38,408.5,0.0319192841758,27.315569488,977,0.0822759315206,828.454545455,87,659.012395941,1.29856451899,1,4,1
2809,4,6,5,62,7,1,540,493,"[534,488,546,505]",-402.63,409.01,0.081550802139,61.0,897,0.132575757576,687.0,146,551.279863889,1.35684259302,1,3,1
2820,4,6,4,64,7,1,538,491,"[534,487,541,498]",-402.96,409.67,0.0524382354753,27.0198412698,595,0.0985460420032,488.25,63,390.203388844,1.32051605907,1,6,1
2824,4,6,3,62,7,2,537,498,"[533,493,544,503]",-402.86,408.62,0.0691683,34.0505,591,0.126537,458.233,74,374.83,1.31335,1,5,1
2836,4,6,5,0,5,3,770,592,"[767,588,773,596]",277.14,717.86,0.0292502,44.9939,1711,0.0679566,1493.25,41,1255.71,1.225,1,8,1
2838,4,6,5,0,5,5,759,674,"[754,669,762,679]",275.47,705.58,0.0271989,42.0632,1710,0.0639475,1504.44,65,1255.71,1.23158,1,31,1
