,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
6,4,5,8,0,3,1,492,1533,"[485,1520,501,1541]",-409.64,578.83,0.0734223,196.14,3217,0.130308,2475.25,195,3120.48,0.856083,2,27,1,0,69,0
17,4,5,6,0,3,4,493,1532,"[486,1528,499,1538]",-409.59,578.77,0.0603042,140.291,2715,0.107917,2186.09,97,2394.36,0.971609,3,93,1,0,69,0
18,4,5,6,0,3,5,413,1563,"[407,1556,418,1572]",-421.43,574.26,0.0824691,302.548,4311,0.123084,3366.07,130,2394.36,1.53219,3,108,1,0,69,0
36,4,5,8,15,3,1,1388,452,"[1384,447,1392,458]",-277.31,738.42,0.0741454,77.9744,1255,0.126234,973.667,78,861.511,1.22069,1,4,1,275,14,81
37,4,5,8,15,3,2,1397,462,"[1393,457,1407,470]",-275.69,736.85,0.0379849,50.4647,1459,0.0660983,1278.08,104,861.511,1.54211,1,5,1,275,14,81
38,4,5,8,15,3,3,1416,463,"[1407,457,1421,474]",-273.42,736.42,0.103606,168.829,2084,0.175843,1460.69,158,861.511,1.89147,1,6,1,275,14,81
41,4,5,8,15,3,6,1405,487,"[1401,481,1411,492]",-274.84,733.35,0.0485041,70.1795,1670,0.0962681,1376.7,83,861.511,1.67947,1,13,1,275,14,81
45,4,5,9,57,3,3,1380,506,"[1376,502,1386,513]",-278.5,730.41,0.0375284,58.009,1800,0.0949813,1487.73,91,630.712,2.45078,2,5,1,266,46,68
68,4,5,7,55,3,1,1374,497,"[1370,493,1380,505]",-279.27,731.62,0.0521545,70.0423,1737,0.154178,1272.93,82,618.107,2.17272,3,3,1,266,46,68
74,4,5,7,48,3,1,1358,474,"[1350,467,1368,481]",-281.65,735.25,0.112734,128.891,1436,0.17204,1014.43,191,563.865,2.02765,2,5,1,218,15,70
75,4,5,7,48,3,2,1342,476,"[1338,472,1348,481]",-283.99,735.0,0.0642447,58.6875,1028,0.0919834,854.813,88,563.865,1.62007,2,6,1,218,15,70
77,4,5,7,48,3,4,1337,501,"[1332,497,1341,506]",-284.9,731.16,0.0596283,65.6413,1221,0.0823509,1035.2,63,563.865,1.95231,2,11,1,0,69,0
87,4,5,9,61,3,1,1414,527,"[1408,515,1420,543]",-273.32,727.26,0.0645222264352,88.6457364341,1954,0.206458318326,1285.23333333,215,617.208647243,2.22595564062,2,5,1,214,12,67
91,4,5,8,5,4,2,1883,564,"[1876,556,1892,572]",118.88,721.93,0.233579,1650.33,10264,0.309262,5415.06,223,3917.65,1.80348,2,14,1,0,69,0
92,4,5,4,32,5,1,125,448,"[123,445,129,451]",182.1,739.06,0.0419997,116.137,3115,0.0808349,2649.06,30,2131.52,1.29729,1,4,1,0,69,0
93,4,5,4,32,5,2,110,521,"[107,517,115,526]",179.79,728.22,0.126403,240.315,2519,0.205299,1660.88,63,2131.52,0.891941,1,12,1,0,69,0
97,4,5,9,63,3,1,1404,509,"[1397,503,1410,517]",-274.94,730.04,0.0607752,95.3942,1910,0.128765,1474.23,128,596.761,2.63024,2,2,1,266,46,68
100,4,5,9,63,3,4,1374,546,"[1369,542,1380,551]",-279.27,724.6,0.0407808,53.7717,1545,0.0997297,1264.78,85,596.761,2.20952,2,9,1,0,69,0
121,4,5,4,50,3,1,1346,474,"[1342,470,1353,480]",-283.39,735.07,0.0516938,51.0829,1295,0.160342,937.1,82,523.228,1.88863,3,3,1,266,46,68
145,4,5,8,63,3,2,1403,509,"[1393,504,1409,516]",-275.29,729.86,0.088091,124.635,1700,0.137044,1290.21,149,544.759,2.5972,2,6,1,266,46,68
146,4,5,8,63,3,3,1421,527,"[1416,521,1425,538]",-272.44,727.05,0.0676348,85.3943,1685,0.177422,1177.18,121,544.759,2.31768,2,10,1,214,12,67
149,4,5,7,52,10,1,1383,1707,"[1380,1704,1391,1716]",-277.68,-93.06,0.0582285022596,71.822459893,1492,0.124494689962,1161.63636364,85,498.245722771,2.47560343653,6,10,1,0,69,0
179,4,5,9,48,3,2,1347,486,"[1344,483,1351,491]",-283.42,733.4,0.0325354,50.8492,1728,0.0666529,1512.04,55,660.618,2.3658,2,6,1,0,69,0
181,4,5,9,48,3,4,1331,513,"[1327,497,1336,522]",-285.7,729.84,0.0495911,61.9352,1523,0.123993,1186.98,156,660.618,1.89053,2,14,1,0,69,0
183,4,5,9,56,10,1,1407,1753,"[1404,1749,1411,1756]",-274.52,-99.47,0.0464873,57.7398,1411,0.0873436,1184.32,36,510.958,2.43084,10,32,1,0,69,0
205,4,5,6,60,3,1,1394,502,"[1386,497,1403,508]",-276.37,731.02,0.0848898,120.035,1730,0.144188,1293.98,160,576.097,2.45447,2,3,1,266,46,68
206,4,5,6,60,3,2,1416,522,"[1411,514,1421,533]",-273.19,727.97,0.0831032,104.016,1697,0.193123,1147.64,167,576.097,2.17264,2,5,1,214,12,67
224,4,5,5,55,3,1,1370,503,"[1365,498,1380,513]",-279.66,730.73,0.0603428,60.1093,1145,0.100421,936.022,145,466.649,2.13465,2,3,1,266,46,68
225,4,5,5,55,3,2,1392,516,"[1388,512,1398,529]",-276.57,728.57,0.06084,50.6211,1044,0.14385,781.415,112,466.649,1.783,2,4,1,242,14,54
244,4,5,9,53,3,1,1348,498,"[1341,488,1352,510]",-283.45,731.66,0.0428098,59.6116,1770,0.140882,1332.86,156,645.851,2.15603,4,4,1,0,69,0
247,4,5,5,41,3,1,1396,480,"[1387,475,1403,489]",-276.17,734.22,0.0616016,60.264,1245,0.151167,918.022,161,600.946,1.62791,2,6,1,0,69,0
250,4,5,4,4,4,1,1830,490,"[1826,486,1834,494]",110.8,732.78,0.0582677,115.343,2336,0.112331,1864.19,45,1616.3,1.22473,2,22,1,0,69,0
258,4,5,4,4,4,9,1895,559,"[1888,552,1903,566]",120.52,722.64,0.263098,807.833,4647,0.345079,2262.63,157,1616.3,1.89969,2,56,1,247,7,59
267,4,5,8,60,3,1,1366,536,"[1361,532,1373,549]",-280.4,725.55,0.0544844,82.8741,1765,0.102028,1438.19,133,638.72,2.38142,2,6,1,0,69,0
284,4,5,6,58,3,1,1389,504,"[1380,499,1395,511]",-277.28,730.81,0.0786588,74.6906,1247,0.175383,874.861,116,460.349,2.06268,2,4,1,266,46,68
285,4,5,6,58,3,2,1407,521,"[1401,515,1413,532]",-274.47,728.0,0.0943931,86.5099,1181,0.174554,829.976,144,460.349,1.99085,2,8,1,242,14,54
293,4,5,7,59,3,1,1394,502,"[1386,497,1401,509]",-276.45,731.03,0.0736327,67.6534,1135,0.142919,851.143,108,430.874,2.1324,2,4,1,266,46,68
298,4,5,6,8,4,3,1823,520,"[1819,516,1827,524]",109.83,728.51,0.10697,263.492,3126,0.173919,2199.75,66,2196.94,1.12121,2,41,1,259,8,75
308,4,5,7,19,3,1,530,1519,"[526,1515,535,1528]",-404.06,580.49,0.0398924152469,72.5346585117,2028,0.0748008891899,1745.72222222,109,1327.72044144,1.36945762374,7,12,1,0,69,0
313,4,5,5,49,3,2,1349,479,"[1339,473,1358,486]",-283.23,734.48,0.095744,113.331,1448,0.149956,1070.36,170,574.274,2.06119,2,3,1,266,46,68
333,4,5,9,64,3,1,1421,529,"[1416,524,1425,533]",-272.48,727.19,0.0386671,67.034,2072,0.10844,1666.59,79,625.102,2.77334,2,7,1,214,12,67
335,4,5,7,45,3,1,1371,474,"[1366,470,1377,479]",-279.76,735.23,0.0556502,53.0387,1068,0.0853468,900.034,82,593.336,1.60629,2,6,1,218,15,70
338,4,5,7,45,3,4,1392,526,"[1381,519,1403,532]",-276.6,727.61,0.0710151,87.6912,1503,0.134283,1147.13,198,593.336,2.08115,2,16,1,0,69,0
341,4,5,6,55,3,2,1370,501,"[1363,496,1381,512]",-279.64,730.95,0.0815891,102.323,1503,0.132289,1151.8,171,552.077,2.27165,3,7,1,266,46,68
