,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
3240,3,8,5,35,1,1,735,851,"[730,846,739,858]",-50.99,356.48,0.0690807185863,60.6989247312,1030,0.11473807321,817.967741935,90,643.626801153,1.36518035777,1,1,1,5,2,1
3241,3,8,5,36,1,1,724,846,"[718,840,730,853]",-52.58,357.35,0.0687425556754,60.9664482307,1050,0.119454132842,825.914285714,109,627.456331878,1.41345411447,2,1,1,12,2,3
3242,3,8,5,39,1,1,744,905,"[739,900,751,911]",-49.47,348.53,0.0681648381896,57.7833333333,997,0.115888634986,789.916666667,110,622.474345483,1.36182319183,3,1,1,6,1,4
3249,3,8,6,30,1,1,705,868,"[699,863,712,875]",-55.41,354.11,0.0644010232406,55.6033834586,997,0.104838004141,807.789473684,112,654.074738514,1.32002171358,1,1,1,9,1,6
3252,3,8,6,35,1,1,735,852,"[728,847,741,857]",-50.97,356.43,0.0724552654737,55.6960784314,876,0.102580239144,713.0,102,553.941006533,1.38768581738,3,4,1,12,2,3
3253,3,8,6,39,1,1,743,903,"[737,900,750,907]",-49.72,348.89,0.0369847295624,26.9628811312,843,0.0912165688874,702.064516129,73,527.634543378,1.38169004742,3,2,1,3,1,5
3254,3,8,6,41,1,1,743,914,"[736,909,748,921]",-49.8,347.22,0.0672568252841,55.9025500911,944,0.0981355220215,775.277777778,122,548.619591212,1.51503945755,2,1,1,13,1,8
3256,3,8,6,56,1,1,692,861,"[688,854,697,865]",-57.32,355.37,0.0377641726914,24.3137445362,719,0.0743231058557,619.517241379,71,546.82471726,1.17739920233,3,1,1,0,66,0
3263,3,8,7,30,1,2,707,868,"[701,865,710,874]",-55.27,353.92,0.0282936,22.0582,868,0.0679397,757.56,55,558.019,1.39712,3,4,1,4,1,7
3266,3,8,7,33,1,1,722,867,"[717,863,727,872]",-52.79,354.27,0.0595476773521,45.1021551724,886,0.108670794589,712.310344828,80,501.711117731,1.50965859283,4,3,1,0,66,0
3267,3,8,7,34,1,1,731,881,"[725,876,738,889]",-51.5,352.0,0.0717563865538,56.6111595466,946,0.127314889368,732.324324324,124,529.977259284,1.48862138903,3,1,1,0,66,0
3268,3,8,7,35,1,1,733,851,"[730,846,737,854]",-51.15,356.71,0.0391813622573,26.3674242424,752,0.0753680652605,646.590909091,48,468.452052993,1.43655754956,2,2,1,5,2,1
3270,3,8,7,42,1,1,744,905,"[739,900,752,912]",-49.48,348.57,0.0620193496256,56.2090225564,1082,0.120021792427,850.105263158,105,562.926264871,1.610005328,4,5,1,7,1,10
3276,3,8,9,8,1,1,1351,753,"[1341,746,1358,760]",39.96,371.18,0.202867,171.69,1192,0.277168,674.63,212,578.044,1.46411,2,1,1,0,66,0
3277,3,8,9,8,1,2,1325,773,"[1319,769,1331,781]",36.35,368.01,0.0736314,62.8056,1110,0.168319,790.167,108,578.044,1.47562,2,4,1,0,66,0
3281,3,8,9,51,1,2,2094,1747,"[2090,1743,2098,1753]",149.98,224.05,0.0351052,28.2062,880,0.0632711,775.269,61,668.124,1.20258,1,3,1,0,66,0
3285,3,8,1,0,2,2,298,1137,"[293,1132,302,1143]",-761.4,637.31,0.0352506,28.2123,938,0.0969958,772.125,83,643.047,1.2446,4,95,1,0,66,0
3286,3,8,1,0,2,3,315,1193,"[309,1187,319,1197]",-758.91,629.18,0.028941,22.5176,882,0.0772284,755.536,75,643.047,1.20995,4,107,1,0,66,0
3293,3,8,1,41,2,1,496,1328,"[492,1324,502,1335]",-731.92,608.88,0.0344671,27.7233,892,0.0691485,776.618,88,680.701,1.18164,2,4,1,0,66,0
3299,3,8,2,0,2,1,1498,694,"[1493,688,1503,702]",-583.98,702.76,0.0396814,49.4298,1383,0.0724102,1196.24,99,977.215,1.27471,2,38,1,0,66,0
3302,3,8,2,3,2,1,1037,1650,"[1031,1646,1041,1656]",-652.23,561.37,0.0420719863691,28.3517857143,770,0.0879273369497,645.535714286,80,529.425396075,1.27286583718,3,14,1,0,66,0
3317,3,8,2,64,2,1,358,1308,"[353,1302,364,1312]",-752.4,612.17,0.0620932626242,44.597037037,815,0.0949667852611,673.62962963,75,682.229450166,1.05276409057,4,6,1,0,66,0
3326,3,8,3,12,2,1,1756,886,"[1752,881,1763,892]",-545.73,674.41,0.0361786691962,77.9818824569,2379,0.0676578526395,2077.48387097,73,1791.03265478,1.20347652382,3,10,1,26,1,15
3329,3,8,3,21,2,1,1647,962,"[1643,957,1653,968]",-561.88,663.01,0.0461240962034,102.830163043,2489,0.078517796329,2126.59375,92,1850.61392934,1.20469422482,1,5,1,0,66,0
3349,3,8,4,3,2,1,525,1992,"[521,1987,528,1997]",-727.84,510.89,0.0353359386035,23.8253968254,739,0.0637466584413,650.428571429,63,531.653307191,1.26822114926,4,38,1,0,66,0
3357,3,8,4,13,2,1,1760,896,"[1756,893,1763,900]",-545.26,672.95,0.0263583769947,63.0866666667,2576,0.050071336368,2330.33333333,50,1912.66391876,1.2513541854,1,4,1,23,1,18
3377,3,8,5,0,2,2,1550,729,"[1546,725,1556,737]",-576.2,697.38,0.0358684,61.3065,1938,0.0809002,1647.9,92,1297.41,1.3174,2,24,1,0,66,0
3395,3,8,5,22,2,1,1654,941,"[1650,938,1659,945]",-560.79,666.17,0.0292132053443,69.4046140195,2603,0.0604165928655,2306.39130435,49,2007.23213418,1.18361791739,2,4,1,0,66,0
3419,3,8,6,10,2,1,1755,894,"[1748,888,1759,899]",-546.11,673.35,0.0289671655605,66.6590909091,2572,0.0702094618191,2234.53571429,77,1954.06869373,1.17764273722,3,7,1,34,1,21
3435,3,8,6,52,2,1,1095,1913,"[1091,1910,1102,1917]",-643.28,522.53,0.0314295,25.0353,878,0.0645531,771.519,65,592.404,1.34461,6,11,1,57,2,24
3438,3,8,6,59,2,1,2042,1028,"[2035,1023,2051,1034]",-503.44,653.42,0.0403339630906,72.3492063492,2002,0.0753598536925,1721.4047619,126,1140.51588434,1.57275667343,4,2,1,0,66,0
3442,3,8,7,1,2,2,1685,1001,"[1676,997,1689,1005]",-556.68,657.51,0.0296374,73.3886,2786,0.0738462,2402.82,103,1886.17,1.31283,4,5,1,0,66,0
3443,3,8,7,2,2,1,1708,930,"[1705,926,1711,938]",-552.97,667.77,0.034943892822,90.5980570735,2862,0.0670993578678,2502.07407407,61,2186.80932149,1.18559588423,3,5,1,40,1,27
3451,3,8,7,10,2,1,1753,892,"[1748,888,1762,899]",-546.09,673.48,0.0260769363275,59.4589460784,2630,0.0843848341347,2220.67647059,96,1926.78962256,1.18338576769,3,3,1,29,1,22
3455,3,8,7,19,2,1,1767,998,"[1749,991,1771,1003]",-545.2,657.94,0.0328762659586,76.5833888519,2657,0.0823119966269,2252.85964912,158,1746.72296525,1.3336076094,2,3,1,52,3,39
3460,3,8,7,44,2,1,1661,1069,"[1654,1065,1668,1075]",-559.88,647.16,0.0279872926777,79.7777777778,3034,0.0453557926975,2770.72222222,100,2394.00740862,1.19068136119,3,7,1,0,66,0
3463,3,8,7,50,2,2,1070,1880,"[1066,1876,1075,1888]",-647.16,527.19,0.0362934,31.6242,981,0.0775932,839.724,89,646.793,1.34718,6,15,1,47,2,32
3465,3,8,7,51,2,1,1093,1909,"[1088,1903,1099,1916]",-643.73,523.19,0.0644342,50.1919,892,0.10071,728.771,109,553.79,1.4066,6,11,1,48,2,11
3468,3,8,7,57,2,1,2040,1037,"[2035,1030,2045,1043]",-503.83,652.19,0.0264699222121,47.5274725275,1984,0.0632368703108,1748.0,91,1061.14637217,1.69206390336,5,2,1,0,66,0
3470,3,8,8,2,2,2,1708,930,"[1705,924,1712,937]",-552.95,667.88,0.0289753,64.4742,2547,0.0820647,2160.67,71,1842.46,1.2077,3,6,1,33,1,28
3473,3,8,8,4,2,2,1750,931,"[1734,928,1754,942]",-547.44,667.22,0.02679,56.5348,2317,0.0602286,2053.76,124,1656.92,1.27362,4,2,1,49,1,34
3480,3,8,8,11,2,2,1791,921,"[1787,917,1803,926]",-540.15,669.25,0.0319897,52.9207,1858,0.0741802,1601.38,99,1376.09,1.20218,4,5,1,50,1,38
3481,3,8,8,13,2,1,1794,932,"[1788,927,1807,939]",-539.62,667.51,0.0313063268849,48.9480519481,1806,0.0877645844089,1514.57142857,154,1258.1611005,1.24270213083,4,8,1,0,66,0
3482,3,8,8,17,2,1,1725,943,"[1720,939,1731,949]",-550.38,665.98,0.0295355845926,62.4657657658,2400,0.0780541123272,2052.46666667,74,1747.12698413,1.21052015775,3,1,1,0,66,0
3484,3,8,8,19,2,1,1764,996,"[1759,993,1770,1002]",-544.52,658.02,0.0460903415516,98.2656800564,2414,0.0854908159372,2033.75757576,86,1532.35973525,1.39133338391,3,2,1,53,2,40
3487,3,8,8,21,2,2,1763,1024,"[1756,1018,1769,1029]",-544.81,654.1,0.0423676,83.5484,2222,0.0811492,1888.44,96,1534.52,1.28508,5,7,1,55,2,41
3493,3,8,8,50,2,1,1070,1879,"[1064,1870,1075,1886]",-647.35,527.76,0.0375736141508,37.3097112861,1192,0.110041905944,955.666666667,127,766.517510121,1.29543861013,6,9,1,56,1,33
3495,3,8,8,51,2,2,1096,1910,"[1091,1905,1099,1915]",-643.46,522.94,0.0322278,30.2653,1073,0.0828321,908.84,57,678.836,1.38341,7,9,1,57,2,24
3507,3,8,9,4,2,2,1746,933,"[1739,929,1751,938]",-547.48,667.33,0.0307558,54.5832,1938,0.059554,1720.14,73,1331.8,1.33258,3,4,1,41,1,35
3512,3,8,9,10,2,1,1796,928,"[1790,925,1801,932]",-539.93,668.14,0.0263373339048,54.6177777778,2281,0.0608907575532,2019.16,63,1622.82838212,1.27787867197,1,2,1,42,1,23
