,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
3242,3,8,5,39,1,1,744,905,"[739,900,751,911]",-49.47,348.53,0.0681648381896,57.7833333333,997,0.115888634986,789.916666667,110,622.474345483,1.36182319183,3,1,1,0,25,0
3249,3,8,6,30,1,1,705,868,"[699,863,712,875]",-55.41,354.11,0.0644010232406,55.6033834586,997,0.104838004141,807.789473684,112,654.074738514,1.32002171358,1,1,1,0,25,0
3267,3,8,7,34,1,1,731,881,"[725,876,738,889]",-51.5,352.0,0.0717563865538,56.6111595466,946,0.127314889368,732.324324324,124,529.977259284,1.48862138903,3,1,1,0,25,0
3276,3,8,9,8,1,1,1351,753,"[1341,746,1358,760]",39.96,371.18,0.202867,171.69,1192,0.277168,674.63,212,578.044,1.46411,2,1,1,0,25,0
3277,3,8,9,8,1,2,1325,773,"[1319,769,1331,781]",36.35,368.01,0.0736314,62.8056,1110,0.168319,790.167,108,578.044,1.47562,2,4,1,0,25,0
3377,3,8,5,0,2,2,1550,729,"[1546,725,1556,737]",-576.2,697.38,0.0358684,61.3065,1938,0.0809002,1647.9,92,1297.41,1.3174,2,24,1,0,25,0
3438,3,8,6,59,2,1,2042,1028,"[2035,1023,2051,1034]",-503.44,653.42,0.0403339630906,72.3492063492,2002,0.0753598536925,1721.4047619,126,1140.51588434,1.57275667343,4,2,1,0,25,0
3442,3,8,7,1,2,2,1685,1001,"[1676,997,1689,1005]",-556.68,657.51,0.0296374,73.3886,2786,0.0738462,2402.82,103,1886.17,1.31283,4,5,1,0,25,0
3465,3,8,7,51,2,1,1093,1909,"[1088,1903,1099,1916]",-643.73,523.19,0.0644342,50.1919,892,0.10071,728.771,109,553.79,1.4066,6,11,1,0,25,0
3477,3,8,8,8,2,1,1792,929,"[1787,924,1801,937]",-540.31,667.91,0.067214414309,118.400335946,2048,0.109686802649,1643.13157895,141,1558.6137878,1.13019141027,4,4,1,0,25,0
3507,3,8,9,4,2,2,1746,933,"[1739,929,1751,938]",-547.48,667.33,0.0307558,54.5832,1938,0.059554,1720.14,73,1331.8,1.33258,3,4,1,0,25,0
3512,3,8,9,10,2,1,1796,928,"[1790,925,1801,932]",-539.93,668.14,0.0263373339048,54.6177777778,2281,0.0608907575532,2019.16,63,1622.82838212,1.27787867197,1,2,1,0,25,0
3530,3,8,9,51,2,1,1096,1909,"[1091,1900,1101,1915]",-643.4,523.42,0.0471647049063,50.2885652643,1235,0.0973171755066,1015.94444444,103,785.651646797,1.35713202417,6,9,1,0,25,0
3549,3,8,2,25,3,1,1226,343,"[1218,332,1234,351]",-301.32,754.86,0.122657,426.541,4471,0.188783,3050.98,238,2116.87,1.64276,1,1,1,0,25,0
3553,3,8,3,0,3,1,807,276,"[794,267,816,282]",-363.28,764.76,0.0506377145383,63.1071238703,1460,0.104746480463,1183.14035088,198,727.896907216,1.71212085447,1,3,1,0,25,0
3556,3,8,3,22,3,2,1343,397,"[1338,390,1350,403]",-283.83,746.71,0.115011,326.991,3447,0.156104,2516.13,130,1895.61,1.49985,1,6,1,0,25,0
3579,3,8,5,22,3,1,1344,393,"[1336,386,1351,402]",-283.76,747.1,0.115865357708,312.338491296,3297,0.160841175341,2383.36363636,188,1831.01830015,1.47224204555,2,6,1,0,25,0
3653,3,8,1,64,4,2,1702,695,"[1697,689,1709,705]",92.12,702.45,0.0855259,91.217,1287,0.137768,975.325,131,793.004,1.34494,4,8,1,0,25,0
3678,3,8,2,63,4,2,1748,775,"[1741,767,1756,786]",98.99,690.58,0.0667244,82.6585,1440,0.109337,1156.15,184,1023.85,1.20994,4,7,1,0,25,0
3854,3,8,1,30,6,1,1114,1156,"[1112,1155,1115,1158]",327.96,311.51,0.0903042903043,62.0519480519,982,0.222083946148,625.090909091,14,527.727411342,1.30207914612,5,14,1,0,25,0
3965,3,8,6,15,6,1,251,1496,"[250,1495,253,1497]",200.57,261.35,0.0594512195122,63.375,1468,0.188363268404,1002.625,10,783.723985891,1.36017273835,2,4,1,0,25,0
4009,3,8,8,15,6,1,251,1496,"[250,1495,253,1497]",200.57,261.35,0.0602331606218,58.125,1350,0.196344502908,906.875,10,689.81695695,1.39892183032,2,2,1,0,25,0
4193,3,8,6,53,8,1,1035,1560,"[1029,1554,1041,1566]",-652.42,251.88,0.0725763604228,91.1025437202,1486,0.121440809333,1164.16216216,136,1035.11588481,1.21268036198,5,11,1,0,25,0
4262,3,8,3,60,9,1,251,1496,"[250,1495,253,1498]",-768.19,-61.62,0.143125171186,80.3923076923,1009,0.354089780581,481.3,13,513.194396658,1.0945020276,5,7,1,0,25,0
4430,3,8,2,38,11,1,1854,323,"[1853,322,1856,326]",-531.3,-211.23,0.124521164039,110.915151515,2231,0.481989190495,779.818181818,15,734.389135166,1.21289012961,1,2,1,0,25,0
