,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
4461,3,9,1,53,1,1,114,733,"[113,732,116,735]",-142.67,374.06,0.124469513833,128.722222222,2728,0.501605455491,905.444444444,12,662.804287194,1.56028964605,2,1,1,0,29,0
4503,3,9,8,26,1,1,115,732,"[113,731,116,734]",-142.64,374.16,0.317611980755,260.388888889,2500,0.634283639005,559.444444444,12,328.840415347,2.49310393453,3,6,1,0,29,0
4563,3,9,2,60,2,2,1017,1238,"[1011,1232,1022,1247]",-655.11,622.26,0.0613885,67.3267,1275,0.106576,1029.41,112,818.498,1.33993,6,14,1,0,29,0
4567,3,9,3,39,2,1,1359,1526,"[1354,1521,1365,1532]",-604.42,579.71,0.132408114157,69.5649957519,702,0.212625628141,455.818181818,107,461.421033711,1.13861991367,4,10,1,0,29,0
4581,3,9,3,61,2,1,1414,1591,"[1410,1587,1418,1595]",-596.35,570.23,0.234246192893,234.394920635,1548,0.33780420354,766.24,63,378.510986375,2.64360865775,9,17,1,72,25,32
4590,3,9,4,42,2,1,1331,1567,"[1327,1563,1335,1571]",-608.61,573.7,0.121579221534,59.165806927,620,0.183795450772,427.47826087,59,510.998230962,0.952340024505,5,12,1,0,29,0
4603,3,9,4,61,2,2,1414,1587,"[1411,1584,1418,1594]",-596.29,570.5,0.261856,318.919,1877,0.352305,899.0,74,457.27,2.66346,9,16,1,72,25,32
4605,3,9,4,62,2,2,1468,1486,"[1465,1483,1473,1492]",-588.17,585.57,0.122478,71.4305,759,0.194539,511.783,61,392.409,1.48624,9,21,1,50,8,32
4606,3,9,4,62,2,3,1422,1577,"[1419,1574,1426,1583]",-595.11,572.02,0.244517,279.693,1748,0.338353,864.167,64,392.409,2.91497,9,23,1,72,25,32
4618,3,9,5,56,2,1,1855,324,"[1854,323,1856,325]",-531.17,757.5,0.220259180216,178.767857143,2063,0.530496529066,632.857142857,8,301.327830424,2.69349498471,1,1,1,0,29,0
4622,3,9,5,61,2,1,1415,1587,"[1410,1583,1419,1593]",-596.28,570.65,0.238306,313.952,1936,0.317239,1003.48,83,545.685,2.41428,9,17,1,72,25,32
4624,3,9,5,62,2,1,1469,1486,"[1466,1483,1473,1491]",-588.21,585.59,0.111468,78.6104,913,0.18601,626.615,62,469.403,1.50239,9,21,1,50,8,32
4625,3,9,5,62,2,2,1423,1579,"[1419,1574,1427,1584]",-595.1,572.0,0.243441,325.945,1943,0.314631,1012.96,75,469.403,2.85236,9,25,1,72,25,32
4626,3,9,5,63,2,1,1459,1478,"[1454,1473,1464,1483]",-589.75,586.95,0.120376,72.2827,789,0.198003,528.192,80,523.248,1.14759,7,9,1,50,8,32
4627,3,9,5,63,2,2,1421,1587,"[1417,1583,1426,1595]",-595.32,570.53,0.228507,293.88,1910,0.31624,992.207,92,523.248,2.45789,7,14,1,72,25,32
4628,3,9,5,64,2,1,1463,1481,"[1460,1478,1467,1487]",-589.06,586.27,0.146099,86.2679,789,0.220221,504.208,63,446.606,1.32214,9,18,1,50,8,32
4629,3,9,5,64,2,2,1432,1583,"[1429,1580,1436,1589]",-593.64,571.16,0.247792,289.917,1738,0.327689,880.083,67,446.606,2.61976,9,21,1,72,25,32
4639,3,9,6,60,2,2,1412,1598,"[1408,1594,1416,1602]",-596.65,569.17,0.218143,309.641,2076,0.303283,1109.8,68,687.108,2.06582,6,10,1,72,25,32
4641,3,9,6,61,2,2,1415,1588,"[1409,1582,1420,1593]",-596.26,570.73,0.204911,260.024,1764,0.272297,1008.94,103,645.308,1.96644,7,6,1,72,25,32
4642,3,9,6,62,2,1,1468,1486,"[1464,1482,1474,1491]",-588.23,585.69,0.104879,81.3747,1000,0.180275,694.52,76,554.645,1.3989,8,12,1,50,8,32
4643,3,9,6,62,2,2,1422,1577,"[1418,1573,1427,1583]",-595.12,572.1,0.214799,296.578,2045,0.307067,1084.14,86,554.645,2.48938,8,15,1,72,25,32
4646,3,9,6,63,2,2,1459,1477,"[1455,1473,1464,1482]",-589.69,587.02,0.0981941,59.6826,732,0.143643,548.12,76,576.887,1.05359,8,9,1,50,8,32
4647,3,9,6,63,2,3,1421,1587,"[1416,1582,1426,1593]",-595.33,570.69,0.232427,306.613,1945,0.31527,1012.57,100,576.887,2.28672,8,11,1,72,25,32
4648,3,9,6,64,2,1,1463,1482,"[1459,1477,1468,1486]",-589.05,586.38,0.132898,84.8965,824,0.196012,553.913,63,526.503,1.21331,9,11,1,50,8,32
4649,3,9,6,64,2,2,1434,1583,"[1430,1579,1438,1590]",-593.45,571.21,0.243206,302.105,1840,0.323707,940.071,85,526.503,2.3593,9,14,1,72,25,32
4653,3,9,7,45,2,1,1853,324,"[1852,323,1856,325]",-531.29,757.48,0.190477,129.554,2161,0.593893,550.6,13,295.407,2.30243,2,2,1,0,29,0
4663,3,9,7,60,2,2,1411,1597,"[1407,1593,1416,1602]",-596.73,569.3,0.197026,275.787,1946,0.267768,1123.96,80,774.308,1.80774,7,9,1,72,25,32
4664,3,9,7,61,2,1,1415,1585,"[1408,1580,1420,1591]",-596.31,570.99,0.15377442595,191.120449837,1596,0.205555555556,1051.74193548,109,732.376211764,1.6970272455,6,7,1,72,25,32
4665,3,9,7,62,2,1,1468,1485,"[1462,1481,1474,1490]",-588.3,585.82,0.0818086,69.6049,1017,0.131117,781.222,81,645.843,1.31739,9,13,1,50,8,32
4666,3,9,7,62,2,2,1421,1577,"[1416,1572,1427,1584]",-595.29,572.17,0.200896,271.985,1970,0.29101,1081.88,114,645.843,2.09627,9,17,1,72,25,32
4667,3,9,7,63,2,1,1421,1586,"[1416,1581,1427,1592]",-595.28,570.91,0.192208383467,248.344537815,1857,0.280374292046,1043.71428571,119,654.720563293,1.9734508063,6,12,1,72,25,32
4668,3,9,7,64,2,1,1432,1584,"[1427,1579,1437,1590]",-593.68,571.21,0.222327347245,282.234080189,1895,0.314959178584,987.21875,106,626.885525648,2.02501537881,7,8,1,72,25,32
4676,3,9,8,52,2,1,1315,1474,"[1309,1468,1321,1481]",-611.04,587.34,0.121345831749,128.634731747,1321,0.172954163667,931.432432432,134,774.171644543,1.36929216105,7,8,1,0,29,0
4681,3,9,8,60,2,1,1410,1596,"[1406,1592,1416,1601]",-596.81,569.46,0.161929136638,216.090384615,1695,0.204954339148,1118.38461538,80,828.410281734,1.61088657326,6,6,1,72,25,32
4682,3,9,8,61,2,1,1413,1584,"[1406,1578,1421,1591]",-596.49,571.21,0.119198120733,134.160990712,1445,0.186191700331,991.368421053,153,800.468680654,1.4060880069,6,6,1,72,25,32
4683,3,9,8,62,2,1,1420,1577,"[1413,1571,1427,1584]",-595.49,572.23,0.160203036495,208.133575318,1712,0.221525404634,1091.05263158,145,730.182703566,1.77926182112,5,8,1,72,25,32
4684,3,9,8,63,2,1,1421,1584,"[1416,1579,1429,1590]",-595.17,571.21,0.149251390808,190.352380952,1654,0.207727452903,1085.02857143,126,734.553262488,1.73626749415,3,4,1,72,25,32
4685,3,9,8,64,2,1,1431,1583,"[1426,1578,1438,1589]",-593.72,571.29,0.196126106851,244.570903361,1682,0.253148937161,1002.4375,119,715.173671608,1.74364417045,5,4,1,72,25,32
4694,3,9,9,52,2,1,1318,1403,"[1315,1400,1322,1411]",-610.43,597.7,0.0778310232363,82.6828557552,1290,0.136736554239,979.655172414,71,778.367114836,1.36482902209,5,2,1,0,29,0
