,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
5363,4,8,7,54,4,1,1378,1222,"[1373,1218,1384,1227]",690.11,-989.78,0.0476272213149,69.3431407302,1703,0.102403474702,1386.61290323,91,1089.86385077,1.33590635466,7,5,1,75,5,6
5368,4,8,4,53,4,2,1414,1286,"[1406,1280,1419,1293]",695.06,-999.29,0.111711,168.364,1871,0.165816,1338.77,135,1076.07,1.40059,11,9,1,66,19,19
5370,4,8,3,52,4,1,1409,1282,"[1404,1277,1414,1289]",694.51,-998.8,0.139512166161,213.625420875,1978,0.200386189141,1317.60606061,108,990.197007129,1.54639073887,12,10,1,66,19,19
5383,4,8,3,51,4,1,1409,1288,"[1404,1281,1415,1293]",694.56,-999.41,0.117096,174.017,1854,0.171162,1312.09,117,1035.54,1.4351,10,13,1,66,19,19
5391,4,8,2,52,4,1,1408,1282,"[1404,1278,1413,1289]",694.46,-998.84,0.149841,190.116,1656,0.211117,1078.67,92,809.251,1.56785,12,20,1,66,19,19
5431,4,8,4,51,4,1,1409,1286,"[1403,1279,1416,1293]",694.58,-999.3,0.0954198982496,144.976351351,1821,0.139772327192,1374.375,148,1122.86098498,1.35310726054,9,9,1,66,19,19
5448,4,8,6,51,4,1,1359,1244,"[1354,1238,1364,1250]",687.07,-993.07,0.0937830254648,146.730507426,1850,0.132245077507,1417.84375,101,1140.20797842,1.37218322186,10,6,1,73,8,13
5458,4,8,4,50,4,1,1410,1287,"[1403,1281,1417,1293]",694.59,-999.4,0.0557511328451,82.7694183865,1692,0.0937815338042,1401.85365854,130,1142.45410184,1.29950347636,9,4,1,66,19,19
5462,4,8,8,51,4,2,1359,1239,"[1355,1236,1363,1249]",687.26,-992.73,0.0381915,53.657,1622,0.0910472,1351.29,76,996.793,1.40947,10,8,1,73,8,13
5464,4,8,8,50,4,1,1358,1240,"[1350,1235,1364,1249]",686.89,-992.79,0.072883375181,93.3559046587,1504,0.117576450414,1187.53846154,142,966.817920689,1.32485583768,7,5,1,73,8,13
5478,4,8,5,50,4,2,1357,1242,"[1353,1238,1362,1249]",686.96,-992.87,0.0506317,74.4858,1638,0.0795331,1396.65,84,1158.24,1.27014,8,6,1,73,8,13
5522,4,8,8,52,4,2,1359,1237,"[1354,1232,1364,1244]",687.15,-992.11,0.116905,187.977,2005,0.170813,1419.97,115,1015.19,1.58388,8,5,1,73,8,13
5532,4,8,2,50,4,2,1409,1287,"[1403,1282,1416,1294]",694.65,-999.52,0.118501,162.643,1677,0.161817,1209.86,124,962.636,1.42577,12,22,1,66,19,19
5550,4,8,2,49,4,1,1413,1282,"[1404,1276,1419,1291]",694.92,-998.82,0.0891826,114.36,1576,0.148707,1167.96,171,1011.82,1.26734,10,18,1,66,19,19
5571,4,8,4,52,4,1,1409,1281,"[1404,1276,1414,1289]",694.52,-998.69,0.119249557236,195.379428571,1977,0.156130692308,1443.02857143,125,1100.56174402,1.48870157345,11,14,1,66,19,19
5581,4,8,7,50,4,2,1358,1241,"[1350,1236,1364,1251]",686.97,-992.92,0.0819883,117.446,1735,0.137696,1315.02,151,1070.13,1.3386,7,5,1,73,8,13
5587,4,8,3,49,4,1,1411,1281,"[1405,1275,1420,1290]",694.97,-998.67,0.0604364564637,84.5461999369,1588,0.0942739950779,1314.38095238,151,1112.49214061,1.25747149238,9,12,1,66,19,19
5612,4,8,7,51,4,2,1359,1241,"[1354,1238,1364,1246]",687.21,-992.66,0.0421065,64.7949,1884,0.122084,1474.04,60,1090.1,1.41165,7,7,1,73,8,13
5634,4,8,1,49,4,1,1411,1282,"[1408,1278,1417,1287]",695.0,-998.74,0.0790396435791,87.5885714286,1297,0.119275103248,1020.57142857,75,807.934330299,1.37159662418,10,20,1,66,19,19
5635,4,8,5,52,4,1,1368,1208,"[1363,1201,1378,1217]",688.83,-987.93,0.0954889,132.503,1702,0.151117,1255.13,168,1142.35,1.21472,10,4,1,75,5,6
5636,4,8,5,52,4,2,1409,1277,"[1406,1274,1415,1287]",694.9,-998.19,0.0322402,49.7695,1759,0.0814834,1493.94,79,1142.35,1.35134,10,7,1,66,19,19
5648,4,8,1,50,4,4,1410,1286,"[1405,1282,1415,1293]",694.66,-999.47,0.115463,123.086,1338,0.173203,942.935,94,724.313,1.47177,11,26,1,66,19,19
5653,4,8,2,51,4,1,1409,1287,"[1404,1282,1414,1293]",694.53,-999.45,0.14042581016,182.022137887,1706,0.209846041223,1114.19354839,102,878.134757774,1.47610110498,11,17,1,66,19,19
5680,4,8,1,51,4,2,1408,1286,"[1403,1281,1414,1293]",694.44,-999.34,0.13082,120.98,1208,0.200915,803.8,109,671.849,1.37647,12,17,1,66,19,19
5681,4,8,3,50,4,1,1410,1287,"[1404,1280,1416,1295]",694.71,-999.46,0.0958129342275,142.231243001,1790,0.142953161101,1342.23684211,141,1081.10196412,1.37310645468,11,9,1,66,19,19
5701,4,8,3,53,4,1,1412,1287,"[1407,1282,1418,1293]",695.03,-999.39,0.137959052644,196.60874229,1830,0.196659103744,1228.51515152,113,955.034299517,1.49222273433,13,17,1,66,19,19
5704,4,8,7,53,4,1,1376,1213,"[1370,1207,1384,1225]",689.68,-988.76,0.0983831414255,142.76267044,1752,0.144976025573,1308.32608696,169,1107.98712631,1.30966210974,9,4,1,75,5,6
5723,4,8,5,51,4,1,1406,1287,"[1402,1281,1413,1292]",694.16,-999.42,0.0353740658619,52.2121212121,1632,0.0681369680983,1423.78787879,89,1154.49782303,1.27847794128,9,8,1,66,19,19
5742,4,8,2,53,4,1,1412,1286,"[1407,1282,1417,1293]",695.0,-999.43,0.141348190227,165.089032258,1471,0.189229364976,1002.87096774,100,775.844608808,1.5054045446,13,14,1,66,19,19
5781,4,8,6,50,4,2,1358,1241,"[1351,1236,1363,1250]",686.95,-992.97,0.0733702,108.141,1730,0.117657,1365.76,123,1129.76,1.30462,9,7,1,73,8,13
5814,4,8,6,53,4,1,1374,1210,"[1370,1208,1380,1214]",689.51,-988.14,0.0483826,75.6494,1893,0.119815,1487.92,53,1138.39,1.37349,11,10,1,75,5,6
5815,4,8,6,53,4,2,1376,1217,"[1372,1213,1382,1223]",689.91,-989.13,0.0505099,81.3877,1889,0.105023,1529.93,81,1138.39,1.41544,11,11,1,75,5,6
