Distance_(pixels),Gray_Value
0,211
1,212
2,212
3,214
4,213
5,210
6,202
7,189
8,171
9,146
10,87
11,16
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,37
23,126
24,165
25,181
26,193
27,177
28,163
29,186
30,216
31,218
32,218
33,222
34,228
