Distance_(pixels),Gray_Value
0,247
1,244
2,235
3,226
4,227
5,230
6,222
7,218
8,222
9,227
10,229
11,227
12,223
13,216
14,203
15,181
16,154
17,132
18,118
19,107
20,102
21,108
22,126
23,151
24,173
25,189
26,198
27,203
28,208
29,214
30,221
31,227
32,230
33,230
34,225
35,219
36,217
37,216
38,213
39,210
