Distance_(pixels),Gray_Value
0,253
1,246
2,241
3,238
4,236
5,236
6,232
7,229
8,224
9,215
10,197
11,164
12,89
13,12
14,0
15,0
16,0
17,7
18,58
19,150
20,191
21,215
22,226
23,231
24,235
25,236
26,236
27,238
28,239
29,237
30,237
31,240
