Distance_(pixels),Gray_Value
0,230
1,230
2,231
3,231
4,229
5,226
6,221
7,216
8,203
9,173
10,133
11,102
12,89
13,100
14,128
15,158
16,187
17,208
18,219
19,231
20,238
21,241
22,243
23,242
24,244
25,232
26,228
27,243
