Distance_(pixels),Gray_Value
0,212
1,211
2,210
3,208
4,207
5,204
6,201
7,196
8,187
9,171
10,147
11,96
12,26
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,29
22,107
23,166
24,204
25,223
26,233
27,237
28,240
29,241
30,242
31,244
32,243
33,236
34,239
