Distance_(pixels),Gray_Value
0,229
1,229
2,225
3,218
4,210
5,199
6,174
7,119
8,38
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,5
17,70
18,157
19,188
20,206
21,219
22,227
23,229
24,232
25,233
