Distance_(pixels),Gray_Value
0,226
1,228
2,232
3,233
4,235
5,228
6,225
7,220
8,211
9,195
10,176
11,146
12,71
13,10
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,12
24,74
25,150
26,183
27,201
28,211
29,218
30,222
31,228
32,234
33,240
34,245
