Distance_(pixels),Gray_Value
0,255
1,255
2,255
3,255
4,254
5,251
6,250
7,248
8,241
9,230
10,214
11,192
12,164
13,128
14,85
15,46
16,25
17,24
18,24
19,27
20,48
21,91
22,138
23,172
24,195
25,211
26,219
27,224
28,230
29,232
30,230
31,230
32,233
33,238
34,241
35,241
36,240
37,237
