Distance_(pixels),Gray_Value
0,233
1,232
2,231
3,228
4,220
5,206
6,168
7,101
8,25
9,0
10,0
11,0
12,0
13,9
14,75
15,153
16,199
17,225
18,234
19,240
20,243
21,245
22,244
23,246
24,246
