Distance_(pixels),Gray_Value
0,248
1,248
2,249
3,248
4,246
5,246
6,245
7,240
8,235
9,228
10,219
11,209
12,201
13,199
14,192
15,186
16,182
17,183
18,190
19,197
20,209
21,220
22,228
23,235
24,239
25,241
26,242
27,243
28,245
29,243
30,246
