Distance_(pixels),Gray_Value
0,236
1,238
2,239
3,241
4,241
5,241
6,243
7,241
8,239
9,235
10,229
11,220
12,206
13,189
14,168
15,147
16,132
17,121
18,122
19,131
20,150
21,169
22,190
23,208
24,223
25,233
26,239
27,241
28,243
29,241
30,240
31,240
32,239
33,239
34,236
35,235
