Distance_(pixels),Gray_Value
0,255
1,255
2,254
3,254
4,254
5,255
6,255
7,255
8,255
9,255
10,253
11,242
12,225
13,187
14,118
15,34
16,0
17,0
18,0
19,16
20,83
21,161
22,216
23,243
24,253
25,255
26,255
27,255
28,255
29,255
30,255
31,255
32,255
33,255
34,255
35,255
36,255
37,255
