Distance_(pixels),Gray_Value
0,225
1,221
2,220
3,219
4,214
5,210
6,204
7,198
8,174
9,130
10,45
11,4
12,0
13,0
14,0
15,0
16,0
17,15
18,90
19,163
20,202
21,225
22,238
23,242
24,246
25,245
26,248
27,250
28,250
29,249
