Distance_(pixels),Gray_Value
0,236
1,237
2,239
3,238
4,235
5,231
6,226
7,217
8,204
9,186
10,163
11,138
12,116
13,102
14,99
15,109
16,129
17,152
18,173
19,191
20,204
21,210
22,213
23,217
24,220
25,220
26,220
27,219
