,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
3211,4,8,7,45,7,2,1961,144,"[1955,138,1968,151]",-192.67,461.07,0.120502,81.8738,845,0.171522,597.568,145,472.092,1.43922,1,3,1,30,6,10
3274,4,8,7,44,7,1,1958,144,"[1950,138,1966,150]",-193.18,461.12,0.100734129658,60.7626841244,786,0.183346522805,542.435897436,141,455.630246797,1.32387738918,1,2,1,30,6,10
3474,4,8,5,43,8,2,330,468,"[325,461,335,475]",-756.5,413.24,0.12459,90.4747,958,0.202232,635.703,124,591.489,1.22771,2,6,1,32,5,6
3529,4,8,4,43,8,1,330,470,"[325,458,335,476]",-756.42,413.32,0.115261925122,66.9107913669,728,0.172680412371,513.6,139,492.215991893,1.17938222432,2,7,1,32,5,6
3647,4,8,6,43,8,3,329,470,"[325,464,335,476]",-756.52,412.92,0.0718259,59.9292,1003,0.128591,774.438,90,675.166,1.2358,2,6,1,32,5,6
3940,4,8,8,43,7,2,1954,134,"[1950,130,1960,141]",-193.63,462.43,0.0838735,52.548,775,0.149027,573.968,95,461.333,1.35806,1,4,1,30,6,10
4250,4,8,7,44,8,1,333,463,"[330,458,337,473]",-756.03,413.61,0.0652518,52.5944,974,0.127688,753.429,87,674.5,1.19499,2,5,1,32,5,6
4278,4,8,6,45,7,1,1960,143,"[1955,138,1967,151]",-192.66,461.09,0.124198392234,73.2939491586,771,0.197351751195,516.842105263,147,410.455614203,1.43775851517,1,4,1,30,6,10
4473,4,8,8,42,7,1,1958,134,"[1953,130,1963,141]",-193.13,462.37,0.0831974,61.9482,883,0.12797,682.645,91,567.868,1.31121,1,2,1,30,6,10
4594,4,8,7,43,7,2,1957,135,"[1949,129,1964,141]",-193.32,462.5,0.092294,49.1848,665,0.157801,483.73,117,396.138,1.34528,1,3,1,30,6,10
4677,4,8,6,44,8,1,333,463,"[328,458,337,471]",-756.04,413.74,0.0698955176103,49.5671695402,847,0.124390699218,659.59375,87,596.733470089,1.18840479894,2,7,1,32,5,6
