Distance_(pixels),Gray_Value
0,239
1,238
2,238
3,235
4,230
5,224
6,214
7,200
8,180
9,153
10,112
11,45
12,5
13,0
14,0
15,0
16,0
17,0
18,0
19,2
20,49
21,143
22,187
23,205
24,212
25,216
26,220
27,222
28,223
29,224
30,224
31,224
32,221
33,222
