Distance_(pixels),Gray_Value
0,230
1,227
2,226
3,224
4,220
5,214
6,204
7,187
8,163
9,129
10,89
11,58
12,32
13,6
14,0
15,1
16,3
17,2
18,2
19,0
20,10
21,78
22,167
23,220
24,243
25,251
26,254
27,255
28,255
29,255
30,255
31,255
32,255
33,255
34,255
