Distance_(pixels),Gray_Value
0,192
1,191
2,187
3,179
4,165
5,141
6,98
7,43
8,12
9,10
10,10
11,10
12,10
13,10
14,10
15,15
16,39
17,82
18,118
19,138
20,149
21,154
22,158
