Distance_(pixels),Gray_Value
0,242
1,242
2,241
3,240
4,239
5,234
6,229
7,207
8,162
9,91
10,18
11,0
12,0
13,0
14,11
15,63
16,136
17,189
18,218
19,233
20,243
21,244
22,246
23,247
24,248
25,250
26,251
