Distance_(pixels),Gray_Value
0,239
1,236
2,234
3,232
4,229
5,227
6,223
7,216
8,206
9,192
10,171
11,141
12,107
13,71
14,53
15,53
16,53
17,53
18,54
19,70
20,109
21,146
22,172
23,186
24,194
25,204
26,211
27,220
28,224
29,227
30,227
31,229
32,229
33,228
34,226
35,226
