Distance_(pixels),Gray_Value
0,204
1,200
2,193
3,184
4,173
5,156
6,130
7,83
8,17
9,0
10,0
11,0
12,0
13,0
14,0
15,4
16,40
17,118
18,155
19,172
20,185
21,195
22,204
23,208
24,214
25,219
26,223
27,225
