Distance_(pixels),Gray_Value
0,214
1,213
2,211
3,211
4,210
5,207
6,205
7,207
8,208
9,204
10,200
11,195
12,184
13,172
14,159
15,140
16,117
17,93
18,75
19,65
20,64
21,78
22,106
23,132
24,154
25,170
26,178
27,181
28,182
29,187
30,190
31,190
32,190
33,188
34,183
35,180
36,180
37,180
38,180
39,181
