Distance_(pixels),Gray_Value
0,228
1,227
2,225
3,225
4,224
5,220
6,215
7,208
8,196
9,176
10,144
11,102
12,53
13,24
14,24
15,24
16,24
17,27
18,56
19,108
20,147
21,174
22,191
23,200
24,203
25,204
26,206
27,206
