Distance_(pixels),Gray_Value
0,255
1,255
2,255
3,253
4,243
5,226
6,196
7,156
8,106
9,68
10,56
11,55
12,55
13,55
14,55
15,55
16,55
17,55
18,55
19,62
20,89
21,113
22,118
23,104
24,71
25,57
26,55
27,55
28,55
29,55
30,55
31,55
32,55
33,55
34,55
35,55
36,55
37,56
38,60
39,84
40,90
41,70
42,57
43,55
44,55
45,55
46,66
47,101
48,145
49,184
50,217
51,238
52,249
53,254
54,255
55,255
