Distance_(pixels),Gray_Value
0,253
1,254
2,254
3,253
4,250
5,249
6,248
7,244
8,241
9,230
10,218
11,197
12,166
13,99
14,17
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,64
23,152
24,192
25,213
26,222
27,232
28,239
29,241
30,244
31,247
32,250
33,251
34,252
35,254
