Distance_(pixels),Gray_Value
0,234
1,231
2,227
3,227
4,224
5,224
6,227
7,229
8,227
9,227
10,223
11,216
12,207
13,191
14,170
15,144
16,119
17,99
18,85
19,80
20,82
21,95
22,112
23,136
24,158
25,177
26,195
27,208
28,218
29,224
30,227
31,227
32,227
33,228
34,229
35,229
36,229
37,229
38,232
39,233
