Distance_(pixels),Gray_Value
0,230
1,230
2,230
3,229
4,225
5,220
6,215
7,206
8,191
9,171
10,149
11,132
12,121
13,120
14,122
15,127
16,142
17,162
18,182
19,198
20,205
21,210
22,213
23,217
24,217
