Distance_(pixels),Gray_Value
0,229
1,229
2,229
3,228
4,227
5,227
6,227
7,227
8,227
9,224
10,224
11,224
12,222
13,220
14,215
15,209
16,200
17,192
18,185
19,180
20,177
21,178
22,183
23,190
24,195
25,203
26,206
27,210
28,214
29,222
30,225
31,227
32,228
33,229
34,229
35,228
36,227
37,227
38,228
39,230
40,232
41,232
42,232
