Distance_(pixels),Gray_Value
0,225
1,223
2,223
3,222
4,224
5,224
6,224
7,221
8,216
9,206
10,190
11,169
12,149
13,130
14,103
15,46
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,17
27,98
28,162
29,184
30,195
31,201
32,203
33,205
34,208
35,214
36,216
37,219
38,221
39,222
40,222
41,222
42,222
43,222
