,Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Selected,coloc AR - Object No in Spots AR,Unnamed: 24
666,4,8,45,1,1,752,525,"[748,517,757,536]",-371.25,-241.2,,,,,0.0297488435738,28.092020592,1027,0.0570115787539,916.214285714,111,864.621763771,1.09216115748,1,2,
667,4,8,52,4,1,182,273,"[176,266,190,279]",513.36,-849.41,,,,,0.0302218563818,22.9381091618,863,0.0793891119742,736.052631579,108,783.537988336,0.968671273173,1,1,
668,4,8,11,1,1,929,264,"[921,258,934,272]",-345.22,-202.51,,,,,0.0382088577531,64.813283208,1916,0.0802045719962,1631.47619048,114,1617.68779352,1.04858890602,1,5,
669,4,8,7,4,1,322,579,"[319,575,328,583]",533.97,-894.8,,,,,0.0269147234397,38.3240740741,1532,0.0501842278141,1385.58333333,54,1250.72389423,1.13846662239,2,4,
670,4,8,51,3,1,1001,1838,"[997,1834,1009,1843]",634.39,-435.05,,,,,0.0305146313293,52.4393939394,2057,0.105004842871,1666.06060606,88,1740.03102323,0.987626069338,2,7,
671,4,8,52,3,1,1017,1865,"[1013,1859,1021,1870]",636.58,-439.04,,,,,0.0296586,51.1712,2031,0.096307,1674.17,74,1794.24,0.961598,3,13,
672,4,8,52,3,2,1540,1944,"[1536,1940,1544,1950]",713.94,-450.87,,,,,0.027155,31.0962,1276,0.0677652,1114.04,52,1330.02,0.860991,4,21,
673,4,8,52,3,3,1535,1950,"[1531,1946,1547,1954]",713.5,-451.66,,,,,0.0328805,32.8874,1187,0.10197,967.324,85,1330.02,0.752028,4,23,
674,4,8,4,1,1,847,226,"[841,220,854,233]",-357.2,-196.88,,,,,0.0344029,76.6779,2535,0.0816824,2152.14,106,2198.94,1.01359,1,3,
675,4,8,4,1,2,790,244,"[786,236,795,249]",-365.63,-199.27,,,,,0.0308096,66.9583,2482,0.0818743,2106.33,96,2198.94,0.988334,1,9,
676,4,8,4,1,3,864,265,"[860,262,874,270]",-354.2,-202.58,,,,,0.0290331,80.5938,3012,0.0554842,2695.33,96,2198.94,1.26239,1,11,
677,4,8,38,4,1,1236,2098,"[1231,2092,1241,2106]",668.98,-1119.4,,,,,0.0397061606672,28.3221494102,807,0.0817901530094,684.971428571,109,607.846812279,1.17347588829,8,10,
678,4,8,57,5,1,1004,195,"[999,190,1017,205]",-333.63,-838.32,,,,,0.0497644229113,263.114341085,6088,0.0957441223893,5024.08333333,172,6406.01065798,0.825349497012,1,27,
679,4,8,22,5,1,1644,840,"[1641,838,1653,844]",-238.97,-933.39,,,,,0.0250426550718,15.6896551724,716,0.0792660741203,610.827586207,58,650.07105973,0.963767317436,3,5,
680,4,8,51,4,1,1837,503,"[1832,500,1843,506]",757.88,-883.59,,,,,0.0304485596264,49.529122807,1802,0.0665498709723,1577.12,57,1581.35808503,1.02864059583,2,2,
681,4,8,40,4,1,930,1183,"[924,1179,934,1188]",623.63,-984.14,,,,,0.0272823499442,31.2459758551,1305,0.0789423176295,1114.03571429,71,1159.20266195,0.987990907663,6,7,
682,4,8,8,1,1,906,347,"[902,343,912,352]",-348.49,-214.68,,,,,0.0331468182144,62.501814882,2038,0.0556567713357,1823.10344828,76,1792.12507514,1.0521616428,1,14,
683,4,8,45,5,1,987,175,"[978,170,994,181]",-336.67,-835.19,,,,,0.121606600891,881.582623778,9632,0.2040089584,6367.88095238,151,5916.59761484,1.22527574936,1,30,
684,4,8,57,3,1,1135,1771,"[1129,1765,1147,1781]",654.2,-425.2,,,,,0.0424506,74.2044,2179,0.131121,1673.81,156,1770.14,0.987501,3,2,
685,4,8,57,3,2,1076,1791,"[1068,1785,1086,1795]",645.53,-427.96,,,,,0.0258628,46.6939,2055,0.0776777,1758.76,100,1770.14,1.01995,3,4,
686,4,8,57,3,3,1164,1848,"[1158,1843,1170,1856]",658.38,-436.62,,,,,0.06795,118.707,1993,0.10072,1628.26,105,1770.14,0.986909,3,7,
687,4,8,57,3,4,1156,1856,"[1149,1851,1162,1862]",657.11,-437.65,,,,,0.0261144,43.7361,1865,0.0669167,1631.06,96,1770.14,0.946133,3,9,
688,4,8,55,4,1,1651,1335,"[1646,1328,1657,1345]",730.22,-1006.83,,,,,0.0492546774915,112.629546307,2600,0.0892224826692,2174.04761905,127,2405.98032869,0.950413907417,13,18,
