,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
5581,4,8,7,50,4,2,1358,1241,"[1350,1236,1364,1251]",686.97,-992.92,0.0819883,117.446,1735,0.137696,1315.02,151,1070.13,1.3386,7,5,1,112,9,23
5587,4,8,3,49,4,1,1411,1281,"[1405,1275,1420,1290]",694.97,-998.67,0.0604364564637,84.5461999369,1588,0.0942739950779,1314.38095238,151,1112.49214061,1.25747149238,9,12,1,102,19,24
5594,4,8,6,58,5,1,938,144,"[932,138,948,152]",-343.56,-830.61,0.136952808349,807.375825292,7558,0.195327270767,5087.90909091,179,3635.85954482,1.62142812271,1,1,1,41,1,25
5598,4,8,1,0,1,4,800,1612,"[792,1608,804,1617]",-364.46,-401.78,0.0353964,42.6908,1459,0.112727,1163.39,77,956.174,1.26136,3,41,1,0,47,0
5601,4,8,7,26,5,1,959,138,"[956,134,963,145]",-340.68,-829.67,0.0320662580331,91.5796296296,3346,0.0951872954297,2764.37037037,60,1709.6000168,1.67053695129,1,4,1,0,47,0
5605,4,8,7,38,4,1,1236,2098,"[1233,2095,1241,2103]",669.11,-1119.43,0.0336255291736,24.3583333333,807,0.0709723796621,700.041666667,60,555.121426357,1.30493972239,10,6,1,121,1,37
5608,4,8,1,42,3,1,899,441,"[890,437,904,448]",618.93,-228.67,0.0667881839923,51.6844272844,888,0.102988146781,722.171428571,111,645.033827531,1.19971360079,1,1,1,123,4,35
5609,4,8,8,40,1,1,791,1608,"[783,1602,797,1616]",-365.7,-401.15,0.0869000290564,76.5471243601,1094,0.152599863807,804.317073171,162,587.526231536,1.49927637312,3,4,1,104,1,39
5612,4,8,7,51,4,2,1359,1241,"[1354,1238,1364,1246]",687.21,-992.66,0.0421065,64.7949,1884,0.122084,1474.04,60,1090.1,1.41165,7,7,1,112,9,23
5613,4,8,1,41,3,1,894,544,"[889,540,899,550]",618.52,-243.84,0.0576213735139,34.8271264368,675,0.0846978638517,569.586206897,75,517.808733747,1.16725210284,1,5,1,126,1,31
5616,4,8,6,60,5,1,1547,908,"[1541,905,1552,912]",-253.86,-943.34,0.0436979627908,35.221182266,914,0.0849996929941,770.793103448,70,520.257946101,1.54925896232,4,25,1,101,1,42
