,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc
52,4,5,5,37,2,1,52,1408,"[47,1404,56,1415]",-1443.59,-371.64,0.0894197,48.6618,657,0.140097,495.533,82,433.612,1.25503,6,24,1
66,4,5,1,5,2,1,498,596,"[494,593,503,600]",-1377.6,-251.54,0.0590465,24.5473,506,0.127976,391.182,48,291.049,1.42838,4,5,1
189,4,5,7,51,2,2,151,963,"[145,958,157,968]",-1428.88,-305.67,0.0995534,36.1888,442,0.149063,327.323,88,307.994,1.18025,10,24,1
220,4,5,3,1,8,1,260,201,"[254,195,265,206]",-444.06,-1484.71,0.0866963,48.3239,685,0.147337,509.069,84,387.31,1.43914,1,1,1
242,4,5,3,58,6,1,1402,118,"[1398,115,1406,122]",-1243.96,-826.72,0.0632839,31.4642,611,0.134921,465.727,47,303.618,1.63756,3,9,1
243,4,5,3,58,6,2,1400,125,"[1397,121,1404,128]",-1244.21,-827.57,0.0517781,26.9602,614,0.108576,493.727,48,303.618,1.71494,3,10,1
295,4,5,2,6,2,1,495,591,"[490,585,500,597]",-1378.09,-250.7,0.124023,53.3368,556,0.192214,376.719,108,304.635,1.41171,5,5,1
307,4,5,1,6,2,1,494,591,"[490,586,499,597]",-1378.16,-250.75,0.110548,44.6905,543,0.203229,359.571,84,280.162,1.44296,4,5,1
376,4,5,8,62,3,1,1099,1421,"[1098,1420,1101,1425]",648.74,-373.64,0.144727084388,65.7486631016,1233,0.520771430173,388.545454545,17,341.679006721,1.32959329871,7,12,1
414,4,5,7,52,9,1,100,182,"[95,177,107,189]",501.15,-1482.07,0.0478609852081,31.9613095238,772,0.096720729253,635.833333333,112,281.42537119,2.3729013487,1,8,1
446,4,5,7,32,2,1,1413,115,"[1409,111,1418,123]",-1242.29,-180.6,0.105769794464,40.5742128936,468,0.154081632653,343.034482759,92,304.204396256,1.26102285297,1,2,1
491,4,5,1,3,2,1,491,598,"[486,594,496,605]",-1378.64,-251.95,0.137326376943,63.0123541524,610,0.212918123216,395.838709677,94,308.113022352,1.48922969996,11,22,1
530,4,5,7,1,8,1,706,1245,"[699,1240,711,1254]",-378.15,-1639.19,0.0809662950005,29.6808943089,441,0.133818273029,336.902439024,120,259.044780297,1.41513499293,2,3,1
706,4,5,8,60,2,4,1472,71,"[1470,68,1478,75]",-1233.47,-174.0,0.064612,26.7854,499,0.125429,387.773,43,306.06,1.3545,1,4,1
709,4,5,8,60,2,7,1197,1883,"[1193,1879,1202,1887]",-1274.23,-441.7,0.0642975,35.3636,658,0.122258,514.636,49,376.302,1.46159,34,59,1
739,4,5,1,2,1,1,814,2051,"[811,2048,821,2057]",-361.85,-466.66,0.0409094,24.84,706,0.0959714,582.355,77,545.192,1.11373,5,22,1
798,4,5,1,32,6,1,1176,272,"[1171,269,1181,278]",-1277.28,-849.47,0.0683102605616,24.0197228145,420,0.123584770458,327.607142857,67,240.288656264,1.46335191656,1,4,1
847,4,5,2,14,2,1,1980,556,"[1976,551,1984,560]",-1158.5,-245.47,0.116312,44.4925,496,0.189399,338.034,74,261.752,1.46141,2,3,1
1005,4,5,2,58,6,1,1401,120,"[1396,116,1405,129]",-1244.17,-827.28,0.169546,86.1433,678,0.232797,421.938,99,282.556,1.79816,3,5,1
1008,4,5,8,63,7,1,1098,1423,"[1097,1422,1101,1426]",-1288.77,-1665.39,0.172056,71.1192,1209,0.558762,342.231,20,318.712,1.29694,8,13,1
1034,4,5,8,51,7,1,1716,1261,"[1710,1257,1721,1267]",-1197.55,-1641.57,0.0580318636156,25.9943181818,509,0.0935213158778,421.9375,88,416.432824427,1.07564003582,4,10,1
1036,4,5,3,64,8,2,1102,1756,"[1098,1753,1105,1761]",-319.58,-1714.73,0.0933618,49.1293,718,0.201578,477.095,49,316.111,1.66468,9,13,1
1049,4,5,8,50,2,2,1218,1981,"[1217,1980,1220,1983]",-1271.04,-456.26,0.146733,98.15,1457,0.437061,570.75,10,426.522,1.56827,26,60,1
1058,4,5,8,32,2,2,1413,119,"[1410,115,1417,122]",-1242.35,-180.85,0.0497464,22.6504,529,0.100173,432.667,41,297.374,1.53113,1,2,1
1132,4,5,3,56,6,1,1414,118,"[1408,114,1418,124]",-1242.3,-826.8,0.129354545721,63.9855072464,658,0.208818126148,430.666666667,92,306.470344313,1.61402949124,3,3,1
1161,4,5,2,56,6,1,1412,119,"[1408,115,1416,125]",-1242.5,-826.83,0.175022,86.9487,700,0.261443,409.84,71,284.934,1.74352,3,4,1
1220,4,5,4,64,8,3,1102,1755,"[1098,1751,1106,1760]",-319.56,-1714.46,0.0546167,26.2333,581,0.122615,454.083,60,338.2,1.42021,8,12,1
1282,4,5,4,17,2,1,572,448,"[566,443,576,455]",-1366.73,-229.66,0.0666680504569,24.0459893048,441,0.134206219313,336.636363636,85,290.493802909,1.24161806321,3,4,1
1295,4,5,8,33,2,1,1424,120,"[1420,116,1429,127]",-1240.64,-181.32,0.130745156483,55.9978723404,550,0.192670497669,372.3,94,293.961279244,1.45698737412,1,4,1
